1,New York,New York,8336697,8175133,302.643 sq mi,40.6643N 73.9385W
2,Los Angeles,California,3857799,3792621,468.670 sq mi,34.0194N 118.4108W
3,Chicago,Illinois,2714856,2695598,227.635 sq mi,41.8376N 87.6818W
4,Houston,Texas,2160821,2100263,599.589 sq mi,29.7805N 95.3863W
5,Philadelphia,Pennsylvania,1547607,1526006,134.101 sq mi,40.0094N 75.1333W
6,Phoenix,Arizona,1488750,1445632,516.704 sq mi,33.5722N 112.0880W
7,San Antonio,Texas,1382951,1327407,460.933 sq mi,29.4724N 98.5251W
8,San Diego,California,1338348,1307402,325.188 sq mi,32.8153N 117.1350W
9,Dallas,Texas,1241162,1197816,340.519 sq mi,32.7757N 96.7967W
10,San Jose,California,982765,945942,176.526 sq mi,37.2969N 121.8193W
11,Austin,Texas,842592,790390,297.896 sq mi,30.3072N 97.7560W
12,Jacksonville,Florida,836507,821784,747.003 sq mi,30.3370N 81.6613W
13,Indianapolis,Indiana,834852,820445,361.433 sq mi,39.7767N 86.1459W
14,San Francisco,California,825863,805235,46.873 sq mi,37.7751N 122.4193W
15,Columbus,Ohio,809798,787033,217.169 sq mi,39.9848N 82.9850W
16,Fort Worth,Texas,777992,741206,339.819 sq mi,32.7795N 97.3463W
17,Charlotte,North Carolina,775202,731424,297.678 sq mi,35.2087N 80.8307W
18,Detroit,Michigan,701475,713777,138.750 sq mi,42.3830N 83.1022W
19,El Paso,Texas,672538,649121,255.235 sq mi,31.8484N 106.4270W
20,Memphis,Tennessee,655155,646889,315.055 sq mi,35.1035N 89.9785W
21,Boston,Massachusetts,636479,617594,48.277 sq mi,42.3320N 71.0202W
22,Seattle,Washington,634535,608660,83.943 sq mi,47.6205N 122.3509W
23,Denver,Colorado,634265,600158,153.000 sq mi,39.7618N 104.8806W
24,Washington,District of Columbia,632323,601723,61.048 sq mi,38.9041N 77.0171W
25,Nashville,Tennessee,624496,601222,475.126 sq mi,36.1718N 86.7850W
26,Baltimore,Maryland,621342,620961,80.944 sq mi,39.3002N 76.6105W
27,Louisville,Kentucky,605110,597337,325.248 sq mi,38.1781N 85.6667W
28,Portland,Oregon,603106,583776,133.427 sq mi,45.5370N 122.6500W
29,Oklahoma City,Oklahoma,599199,579999,606.410 sq mi,35.4671N 97.5137W
30,Milwaukee,Wisconsin,598916,594833,96.122 sq mi,43.0633N 87.9667W
31,Las Vegas,Nevada,596424,583756,135.815 sq mi,36.2277N 115.2640W
32,Albuquerque,New Mexico,555417,545852,187.730 sq mi,35.1056N 106.6474W
33,Tucson,Arizona,524295,520116,226.709 sq mi,32.1543N 110.8711W
34,Fresno,California,505882,494665,111.957 sq mi,36.7827N 119.7945W
35,Sacramento,California,475516,466488,97.915 sq mi,38.5666N 121.4686W
36,Long Beach,California,467892,462257,50.293 sq mi,33.8091N 118.1553W
37,Kansas City,Missouri,464310,459787,314.950 sq mi,39.1252N 94.5511W
38,Mesa,Arizona,452084,439041,136.452 sq mi,33.4019N 111.7174W
39,Virginia Beach,Virginia,447021,437994,249.016 sq mi,36.7793N 76.0240W
40,Atlanta,Georgia,443775,420003,133.152 sq mi,33.7629N 84.4227W
41,Colorado Springs,Colorado,431834,416427,194.540 sq mi,38.8673N 104.7607W
42,Raleigh,North Carolina,423179,403892,142.903 sq mi,35.8302N 78.6414W
43,Omaha,Nebraska,421570,408958,127.088 sq mi,41.2647N 96.0419W
